HudongItem,relation,NewNode
混交林,instance of,生物群系
混交林,topic's main category,Category:Temperate broadleaf and mixed forests
密,instance of,人类
中,instance of,维基媒体消歧义页
林相,instance of,人类
草地,subclass of,领土实体
中,said to be the same as,Centraal
低,instance of,日本汉字字符
草地,color,绿色
耕地,subclass of,农业用地
红树林,instance of,生物群系
高,instance of,汉姓
低,grade of kanji,4年级汉字
草地,topic's main category,Category:草坪
密,country of citizenship,中华民国
红树林,instance of,vegetation zone
低,radical,人部
草地,described by source,俄语百科全书
密,given name,Qing
竹林,writing system,日本汉字
红树林,subclass of,生物群系
大果圆柏,instance of,生物分类单元
算盘子,instance of,生物分类单元
健康,subclass of,生理状况
林相,father,林泰
草地,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
密,family name,Yikuang
红树林,topic's main category,Category:Mangroves
高,described by source,百家姓
天然林,facet of,森林生态学
健康,subclass of,absence
林相,child,林世远
草地,described by source,Great Encyclopedia of Cyril and Methodius
密,family name,爱新觉罗
大果圆柏,parent taxon,Juniperus sect. Sabina
杜英,instance of,生物分类单元
紫檀,instance of,生物分类单元
香槐,instance of,生物分类单元
千斤拔,instance of,生物分类单元
算盘子,parent taxon,算盘子属
大果圆柏,IUCN conservation status,易危物种
高,different from,高 (消歧义)
健康,topic's main Wikimedia portal,Portal:Health and fitness
草地,different from,bowling green
蚬木,instance of,生物分类单元
紫椴,instance of,生物分类单元
紫檀,parent taxon,紫檀属
香槐,parent taxon,香槐属
千斤拔,parent taxon,千斤拔属
高,different from,Cao
健康,topic's main category,Category:健康
草地,different from,pitch
密,father,绵性
杜英,topic's main category,Category:Elaeocarpus sylvestris
紫檀,IUCN conservation status,易危物种
高,said to be the same as,Ko
健康,on focus list of Wikimedia project,Wikipedia:基础条目
密,child,载振
蚬木,parent taxon,蚬木属
银钩花,instance of,生物分类单元
紫檀,topic's main category,Category:Pterocarpus indicus
密,family,爱新觉罗
橄榄,color,绿色
紫椴,topic's main category,Category:Tilia amurensis
密,languages spoken written or signed,奕劻
黄杞,instance of,生物分类单元
枫杨,instance of,生物分类单元
红豆杉,instance of,生物分类单元
银钩花,parent taxon,银钩花属
密,occupation,书法家
橄榄,natural product of taxon,橄榄
密,occupation,画家
橄榄,has quality,苦
阿丁枫,instance of,生物分类单元
马蹄荷,instance of,生物分类单元
壳菜果,instance of,生物分类单元
盆架树,instance of,生物分类单元
海南狗牙花,instance of,生物分类单元
红豆杉,parent taxon,红豆杉属
密,occupation,政治人物
橄榄,different from,奥利瓦
枫杨,topic's main category,Category:Pterocarya stenoptera
红豆杉,IUCN conservation status,濒危物种
密,position held,内阁总理大臣
壳菜果,parent taxon,壳菜果属
海南狗牙花,parent taxon,Ervatamia
阿丁枫,basionym,Liquidambar chinensis
密,head of government,奕劻
密,Eight Banner register,满洲镶蓝旗
密,military rank,Commandant
密,described by source,Nordisk familjebok
欧松,instance of,人类
欧松,father,朗达玛
柃木,instance of,生物分类单元
欧松,sibling,云丹
雨林,topic's main category,Category:雨林
怒江,instance of,跨界河流
澜沧江,instance of,跨界河流
雅鲁藏布江,drainage basin,恒河盆地
柃木,topic's main category,Category:Eurya japonica
怒江,tributary,拜河
原鸽,instance of,生物分类单元
淮河,tributary,颍河
雅鲁藏布江,heritage designation,Tentative World Heritage Site
怒江,tributary,莫艾河
澜沧江,tributary,南塔河
钱塘江,lakes on river,千岛湖
淮河,tributary,潢河 (淮河)
怒江,tributary,吉英河
澜沧江,tributary,南乌河
大杜鹃,instance of,生物分类单元
棕腹杜鹃,instance of,生物分类单元
鹰鹃,instance of,生物分类单元
红翅凤头鹃,instance of,生物分类单元
原鸽,parent taxon,鸽属
淮河,tributary,史灌河
怒江,tributary,南庞河
澜沧江,tributary,洞里萨湖
原鸽,IUCN conservation status,无危物种
淮河,tributary,洪河
怒江,tributary,南登河
澜沧江,tributary,南俄河
棕腹杜鹃,parent taxon,Hierococcyx
